"";"mouse";"human";"mousemodule";"Taman_UC_logFC";"Lloyd_UC_logFC";"Lloyd_CD_logFC";"Taman_UC_reg";"Lloyd_UC_reg";"Lloyd_CD_reg"
"12843";"Lct";"LCT";NA;NA;-4,15941401300037;-4,38094614138822;NA;"down";"down"
"4114";"Cubn";"CUBN";NA;NA;-3,66070100259992;-4,09703136704881;NA;"down";"down"
"21959";"Slc2a2";"SLC2A2";NA;NA;-4,21538469393177;-4,93795528680714;NA;"down";"down"
"61";"Abcc2";"ABCC2";NA;NA;-2,49271818227636;-2,57497717198139;NA;"down";"down"
"21946";"Slc28a1";"SLC28A1";NA;NA;-3,63462003257722;-4,34427393712324;NA;"down";"down"
"13123";"Lrat";"LRAT";NA;NA;-3,38943663781262;-3,0303656546199;NA;"down";"down"
"7569";"Gsta1";"GSTA2";2;NA;-3,39924292048778;-3,92497804110813;NA;"down";"down"
"5735";"Enpep";"ENPEP";7;-1,2259305079265;-3,70846152791999;-3,76456458821735;"down";"down";"down"
"21762";"Slc10a2";"SLC10A2";7;NA;-3,47257770686456;-4,45782426154171;NA;"down";"down"
"22099";"Slc5a4a";"SLC5A4";NA;NA;-3,0569210261716;-3,20695903169206;NA;"down";"down"
"14766";"Ms4a10";"MS4A10";7;NA;-3,48456976128072;-3,70374147303822;NA;"down";"down"
"15652";"Npc1l1";"NPC1L1";NA;NA;-2,58025112644046;-2,60018070374201;NA;"down";"down"
"9";"Aadac";"AADAC";7;NA;-3,38242227910453;-4,14985845538354;NA;"down";"down"
"968";"Apob";"APOB";1;-2,96150412177141;-4,22765625906408;-4,78670313466043;"down";"down";"down"
"22447";"Soat2";"SOAT2";2;NA;-3,13616707866519;-3,36672701568355;NA;"down";"down"
"1966";"Gm11437";"C17orf78";NA;NA;-4,0827794233555;-4,46941873106951;NA;"down";"down"
"22096";"Slc5a12";"SLC5A12";NA;NA;-3,43346283748113;-3,30229785026143;NA;"down";"down"
"7564";"Gsta1";"GSTA1";2;-1,3646497574018;-2,21411156206763;-2,74907512752417;"down";"down";"down"
"964";"Apoa1";"APOA1";NA;NA;-3,54520258465529;-4,15768258686758;NA;"down";"down"
"23977";"Tm4sf4";"TM4SF4";7;NA;NA;-3,65101711146134;NA;NA;"down"
"6015";"Fabp6";"FABP6";5;NA;-2,28686075151078;-4,29338579019311;NA;"down";"down"
"14931";"Mttp";"MTTP";NA;NA;-3,54181307658834;-4,07822189747934;NA;"down";"down"
"22124";"Slc6a4";"SLC6A4";2;NA;-3,45385338510644;-3,56812554504851;NA;"down";"down"
"21624";"Shbg";"SHBG";NA;NA;-2,23173487874473;-2,44567784199805;NA;"down";"down"
"2930";"Ceacam20";"CEACAM20";NA;NA;-2,12282598966838;-3,56958840932672;NA;"down";"down"
"966";"Apoa4";"APOA4";NA;NA;-3,23781530106266;-3,7813301743394;NA;"down";"down"
"1055";"Aqp9";"AQP9";NA;5,36839082849101;6,99827389271696;7,93745890701098;"up";"up";"up"
"6398";"Fcgr4";"FCGR3B";2;4,54753364403025;5,998276397908;6,81665123120494;"up";"up";"up"
"22144";"Slc7a9";"SLC7A9";5;NA;-2,5787990527209;-3,71819507443726;NA;"down";"down"
"21780";"Slc13a1";"SLC13A1";NA;NA;-2,88870870814183;-3,40458527232162;NA;"down";"down"
"8421";"Hcar2";"HCAR3";2;4,32402458859329;5,97745558253937;7,52265372075776;"up";"up";"up"
"4313";"Cyp3a11";"CYP3A4";NA;-3,58406460684291;-3,09627044729173;-3,02230823773314;"down";"down";"down"
"21538";"Sfrp5";"SFRP5";7;NA;-2,60137345268549;-2,43702581338507;NA;"down";"down"
"21090";"S100a8";"S100A8";2;3,83253510428524;5,68806806267342;9,00190687993163;"up";"up";"up"
"13978";"Mgam";"MGAM";4;NA;-2,92451193213954;-2,99508332738565;NA;"down";"down"
"21091";"S100a9";"S100A9";2;3,45579309653178;4,38784376525577;7,96288371778553;"up";"up";"up"
"13897";"Mep1b";"MEP1B";NA;-2,20665294483504;-2,72720805525112;-3,03785712127934;"down";"down";"down"
"24176";"Tmem252";"TMEM252";7;NA;-2,96204066064779;-2,91542110752823;NA;"down";"down"
"4978";"Dhdh";"DHDH";NA;NA;-1,90311391598621;-2,21119625709444;NA;"down";"down"
"21101";"Saa1";"SAA1";4;6,40196645575406;7,72522891564117;6,85941536958139;"up";"up";"up"
"5244";"Dpep1";"DPEP1";7;NA;-2,50897504766968;-3,11666001904546;NA;"down";"down"
"23270";"Susd2";"SUSD2";NA;NA;-1,7392284934943;-1,91696617902775;NA;"down";"down"
"4167";"Cxcr1";"CXCR1";NA;4,63890089324071;6,12373584067468;6,37756489729622;"up";"up";"up"
"17754";"Phyhipl";"PHYHIPL";NA;NA;-1,77896942790934;-2,35069993391809;NA;"down";"down"
"21103";"Saa1";"SAA2";4;6,22568348584646;7,57043947854304;6,47823096504411;"up";"up";"up"
"5742";"Enpp7";"ENPP7";NA;NA;-3,01614546572732;-2,64447549530059;NA;"down";"down"
"981";"Apoc3";"APOC3";NA;NA;-3,15818614317744;-3,63945906872134;NA;"down";"down"
"3237";"Chi3l1";"CHI3L1";NA;5,35746486464665;5,82481091648896;5,6990402187318;"up";"up";"up"
"8420";"Hcar2";"HCAR2";2;3,57939484598173;4,5323633547178;5,67204999138288;"up";"up";"up"
"14454";"Mmp10";"MMP10";2;4,99843241810578;6,4985003623573;5,15531985687689;"up";"up";"up"
"14472";"Mmp3";"MMP3";2;5,02575533647161;6,34896930108826;7,55675590164009;"up";"up";"up"
"4164";"Cxcl5";"CXCL5";2;4,62582839320366;5,97624712604562;6,40125588348275;"up";"up";"up"
"17903";"Pla2g3";"PLA2G3";1;NA;5,91675570912396;4,8334844921181;NA;"up";"up"
"4152";"Cxcl11";"CXCL11";1;3,25368103861293;4,19502558017277;3,88752621564171;"up";"up";"up"
"11703";"Kcnj13";"KCNJ13";NA;NA;-3,08792636420337;-3,5715629745895;NA;"down";"down"
"4148";"Cxcl1";"CXCL1";2;4,30271869517315;4,25789863259703;3,82249934202671;"up";"up";"up"
"5346";"Duoxa2";"DUOXA2";2;7,20960096195548;6,69513271471397;5,53469004468246;"up";"up";"up"
"6669";"Fpr2";"FPR2";2;4,23333765238507;4,97539104694622;5,54375370832707;"up";"up";"up"
"3960";"Csf3";"CSF3";NA;NA;6,54405421878336;7,32927964584468;NA;"up";"up"
"14670";"Mro";"MRO";7;NA;-1,60189881855462;-1,75472826922084;NA;"down";"down"
"4161";"Cxcl1";"CXCL3";2;3,7076465584541;3,43133346145096;2,80301896304543;"up";"up";"up"
"19553";"Prok2";"PROK2";NA;NA;5,92355471688216;6,42186940978694;NA;"up";"up"
"24752";"Trem1";"TREM1";3;4,1257023511959;4,7772354831137;6,38661141415159;"up";"up";"up"
"17122";"Osm";"OSM";2;3,09929226577849;4,83205222020816;5,58266924494237;"up";"up";"up"
"11705";"Kcnj15";"KCNJ15";NA;3,94637573864556;4,23137939241864;4,97530050245551;"up";"up";"up"
"627";"Aldob";"ALDOB";7;NA;-2,11623206468606;-3,17586404483728;NA;"down";"down"
"14452";"Mmp1a";"MMP1";NA;3,19076167242681;4,56499956825649;6,02220203850294;"up";"up";"up"
"24362";"Tnip3";"TNIP3";2;5,60091553310576;6,24271260992443;4,94679369290659;"up";"up";"up"
"4900";"Defb3";"DEFB4A";NA;3,7042134409912;8,86923332076748;8,0781980931366;"up";"up";"up"
"4168";"Cxcr2";"CXCR2";2;3,43937597005565;4,36198847206026;4,54016031761724;"up";"up";"up"
"21470";"Serpinb7";"SERPINB7";NA;NA;9,82247645739268;7,98361582467707;NA;"up";"up"
"11278";"Il22";"IL22";2;NA;5,4536675540404;6,11028559714784;NA;"up";"up"
"11284";"Il24";"IL24";NA;NA;7,77893619274042;8,95110876365111;NA;"up";"up"
"17474";"Pcsk9";"PCSK9";2;1,88395025861493;2,44911689785061;1,967226750682;"up";"up";"up"
"4386";"Cyp4f13";"CYP4F2";6;-2,1359127723803;-1,68619053771236;-2,33646973984879;"down";"down";"down"
"3831";"Cps1";"CPS1";7;NA;NA;-3,10597011106397;NA;NA;"down"
"4158";"Cxcl1";"CXCL2";2;3,06920566737067;3,45304467979105;2,77075323184703;"up";"up";"up"
"6668";"Fpr1";"FPR1";2;3,63698655438345;3,68969951715612;4,53220636813294;"up";"up";"up"
"11246";"Il17a";"IL17A";2;5,03069665615162;4,81003993825352;4,16990980118083;"up";"up";"up"
"9122";"Ido1";"IDO1";1;3,56236459803614;3,50466453829046;3,73395063049499;"up";"up";"up"
"22451";"Socs3";"SOCS3";2;2,86851514709853;3,05604464558868;2,68414214308832;"up";"up";"up"
"9363";"Ifng";"IFNG";1;1,5411302717718;3,20989085854592;4,53359799289908;"up";"up";"up"
"2715";"Cd300e";"CD300E";NA;3,4364957468103;4,15704415065509;4,75919711310463;"up";"up";"up"
"14474";"Mmp8";"MMP8";2;NA;4,42208306004437;6,28862190871205;NA;"up";"up"
"21813";"Slc17a8";"SLC17A8";1;-1,60241841413589;-1,57527353493694;-1,8418222074172;"down";"down";"down"
"11348";"Inhba";"INHBA";NA;2,79366244660149;3,92055451092632;4,65199419430827;"up";"up";"up"
"6978";"Gbp2";"GBP1";1;2,228956996242;1,96141835291746;2,09810298068471;"up";"up";"up"
"3410";"Cldn14";"CLDN14";NA;NA;4,50933174230987;3,75249449143528;NA;"up";"up"
"6405";"Fcnb";"FCN1";NA;3,246860406889;3,2593650200121;3,39052554149776;"up";"up";"up"
"14457";"Mmp13";"MMP13";2;NA;4,12980823193594;6,40835720924139;NA;"up";"up"
"15814";"Nts";"NTS";NA;NA;-2,12262173620517;-2,87630060091723;NA;"down";"down"
"3956";"Csf2";"CSF2";NA;NA;3,59613899919296;4,58748617162663;NA;"up";"up"
"11232";"Il11";"IL11";3;NA;5,38905756244781;6,38076811293771;NA;"up";"up"
